,CITY_ID,SHEM_YISHU,SRt_05-04,N_05-04,SRt_05-03,N_05-03,SRt_05-02,N_05-02,SRt_05-01,N_05-01,SRt_04-30,N_04-30,SRt_04-29,N_04-29,SRt_04-28,N_04-28,SRt_04-27,N_04-27,SRt_04-26,N_04-26,SRt_04-25,N_04-25,SRt_04-24,N_04-24,SRt_04-23,N_04-23,SRt_04-22,N_04-22,SRt_04-21,N_04-21,SRt_04-20,N_04-20,SRt_04-19,N_04-19,SRt_04-18,N_04-18,SRt_04-17,N_04-17,SRt_04-16,N_04-16,SRt_04-15,N_04-15,SRt_04-14,N_04-14,SRt_04-13,N_04-13,SRt_04-12,N_04-12,SRt_04-11,N_04-11,SRt_04-10,N_04-10,SRt_04-09,N_04-09,SRt_04-08,N_04-08,SRt_04-07,N_04-07,SRt_04-06,N_04-06,SRt_04-05,N_04-05,SRt_04-04,N_04-04,SRt_04-03,N_04-03,SRt_04-02,N_04-02,SRt_04-01,N_04-01,SRt_03-31,N_03-31,SRt_03-30,N_03-30,SRt_03-29,N_03-29,SRt_03-28,N_03-28,SRt_03-27,N_03-27,SRt_03-26,N_03-26,SRt_03-25,N_03-25,SRt_03-24,N_03-24,SRt_03-23,N_03-23,SRt_03-22,N_03-22,SRt_03-21,N_03-21
0,44.0,אשדוד,0.014345838873996012,250.0,0.012637506703845029,313.0,0.016113009055006018,523.0,0.01629863566231176,533.0,0.014862242946057803,548.0,0.016106413702071026,902.0,0.016018646881959017,1046.0,0.015351318156570863,1414.0,0.016373673850577062,1506.0,0.01820357699858028,1406.0,0.01774524450990967,1424.0,0.018151519966175738,1425.0,0.019843368502236256,1130.0,0.021055508691123683,1034.0,0.022150059682690324,718.0,0.021184014633167138,713.0,0.02161398342005531,824.0,0.022365507793602052,869.0,0.02391813694999126,1010.0,0.0245448599413413,983.0,0.027045719084973285,1109.0,0.02984685556634122,1468.0,0.029126375569640494,1849.0,0.030151695720571563,2094.0,0.030612735938496276,2282.0,0.0316158407785536,2176.0,0.033150784849560674,2515.0,0.0327493070225269,2374.0,0.031724744208629085,2068.0,0.035575352378300416,1666.0,0.03744450639519476,1408.0,0.04146987611517119,1269.0,0.04037200408251828,1259.0,0.04091551177085652,1016.0,0.042653198134427917,1012.0,0.04450215079484954,896.0,0.044046702826724515,764.0,0.04217281574749024,715.0,0.0390013236084617,655.0,0.040012813488410855,613.0,0.04082055310687735,491.0,0.04314823721198381,571.0,0.04672888233736931,645.0,0.04894353253857723,702.0,0.04996295649732148,631.0
1,148.0,גני תקווה,0.008101137823375022,239.0,0.010362188102932808,279.0,0.011856951925034605,391.0,0.011650794840178613,389.0,0.01118108331171931,392.0,0.012808601309864429,522.0,0.013441158986086395,651.0,0.011556036579964884,764.0,0.010926376851655229,796.0,0.010786397371205205,663.0,0.010343276203905592,680.0,0.01131762714832861,689.0,0.01193381519615345,578.0,0.014363192141645418,532.0,0.015383213251344506,429.0,0.015545953400336075,417.0,0.014717252926623372,442.0,0.016368873672989868,467.0,0.01730067223066579,504.0,0.019951310728347108,489.0,0.01864173556366088,509.0,0.01995349594713841,559.0,0.022977430194074226,650.0,0.024797960241029104,700.0,0.026371397005448997,710.0,0.026721839131744363,688.0,0.028298250248143888,778.0,0.030668506676022,761.0,0.03181882248740928,724.0,0.033141855991678015,641.0,0.03222109037624045,599.0,0.03232123868092016,580.0,0.032731181417630734,576.0,0.033685177337214336,506.0,0.03225071209680218,469.0,0.03304496427430862,401.0,0.034652428980034566,330.0,0.04596347062297554,292.0,0.048228073115988576,268.0,0.053255276285928535,229.0,,,,,0.053394717031477454,228.0,0.05218966548714779,265.0,0.04814308409198933,222.0
2,695.0,מבשרת ציון,0.004262585120076842,292.0,0.0046126216255349605,338.0,0.00578200707342267,397.0,0.00559258221354586,410.0,0.00526445821578728,415.0,0.007046383123375464,486.0,0.0070390037251292815,557.0,0.008795950583951101,627.0,0.00838171730159597,638.0,0.0077671487675107015,570.0,0.008557724398684756,583.0,0.00811385087570254,615.0,0.006358492150538134,567.0,0.005434201557982152,579.0,0.003958564308441141,552.0,0.0038902300856592117,579.0,0.005488404103723046,617.0,0.0059070387440030075,663.0,0.008232651426275847,668.0,0.008961770876830569,676.0,0.011550771171163907,675.0,0.013267558340110204,713.0,0.0157898079940228,769.0,0.016336778849243925,806.0,0.01907855179034157,782.0,0.018508776146588576,758.0,0.020272173286217682,793.0,0.021924151264039272,786.0,0.024158781702038584,743.0,0.026185595714859792,683.0,0.02736400964968821,651.0,0.02591033367997976,657.0,0.026490223597950332,661.0,0.02675180364763427,652.0,0.02592267040201832,622.0,0.02531409144750674,546.0,0.024584100746703048,465.0,0.030251068718206767,408.0,0.03528921978749544,387.0,0.04011381958247058,334.0,0.047455738346084735,272.0,0.04886904307772898,265.0,0.047919414500787336,323.0,0.04968562632038544,344.0,0.051659754767053256,312.0
3,816.0,מודיעין-מכבים-רעות*,0.006517754746680903,701.0,0.006643820399588664,858.0,0.01093498328615227,1295.0,0.01097811783921996,1326.0,0.01069053325146,1326.0,0.011503514776885495,1848.0,0.012197703143409296,2261.0,0.013084901949590288,2787.0,0.013288949581006964,2959.0,0.013225749612269149,2473.0,0.013493997971388729,2529.0,0.013367781427016105,2591.0,0.013001736158304036,2242.0,0.01187564559540875,2005.0,0.010409147428998188,1633.0,0.009300402648435327,1657.0,0.010442516825337016,1838.0,0.011469931177195756,1935.0,0.012710202391241848,2119.0,0.013079727697746086,2041.0,0.016050597195960817,2126.0,0.018755292186878644,2354.0,0.02043127450163319,2711.0,0.021661790403277804,2857.0,0.022633688858975192,2893.0,0.02301216810800496,2726.0,0.025507041287709958,3031.0,0.025311722212011625,2965.0,0.025388305696401037,2800.0,0.02594231296714511,2421.0,0.02576264772145949,2261.0,0.02625747436894917,2219.0,0.0292323143087144,2246.0,0.031245002483142444,2099.0,0.03326372863542375,2041.0,0.034518323427306305,1769.0,0.036932443677758005,1508.0,0.04338716520839105,1377.0,0.04494994726830887,1323.0,0.043017069234046836,1239.0,0.04297580305989973,1062.0,0.04521756359726195,1116.0,0.04731514423214015,1268.0,0.04748003722247398,1430.0,0.04760622614310092,1309.0
4,836.0,כוכב יאיר,0.016939376383969116,218.0,0.01718777374290664,252.0,0.01910125748230012,331.0,0.019872707234735592,343.0,0.01878146994857509,345.0,0.017264428234765726,428.0,0.01705313071830318,462.0,0.018427136545916843,545.0,0.018376783700437143,582.0,0.01935887829956753,503.0,0.018877783379727075,496.0,0.018869679022927303,500.0,0.017420143866497897,438.0,0.017938692781046196,424.0,0.0173809758279089,379.0,0.016642763538726138,373.0,0.016230156851857986,391.0,0.01648605877683009,441.0,0.01801962794007601,469.0,0.01854636513233285,482.0,0.018710442992853876,494.0,0.018526997671785627,512.0,0.01971328854454198,540.0,0.02126074118975504,559.0,0.022970432386455405,539.0,0.022604692115754173,505.0,0.026562178110807137,522.0,0.0268538251809569,511.0,0.027941816223113054,489.0,0.027670068892715543,467.0,0.02810746222342956,438.0,0.027421636951273358,423.0,0.02771333645727895,430.0,0.03121270721286822,438.0,0.034014972255695164,414.0,0.03527878979382832,366.0,0.03743187945209957,300.0,0.03659254491911298,282.0,0.04240480713571426,264.0,0.047231220655015616,241.0,,,,,0.04111948929278198,220.0,0.047410400437592766,251.0,0.052005587265351136,221.0
5,1003.0,קריית טבעון,0.0071881722937145185,354.0,0.006461146459175406,425.0,0.009449904629789523,515.0,0.008714096891407513,539.0,0.008286794760317634,539.0,0.011400114358783277,662.0,0.015381413377603062,753.0,0.016582926311817674,857.0,0.01695907135114016,899.0,0.01618430395839569,789.0,0.016574730159133983,822.0,0.017469826332947337,845.0,0.016452846992021347,751.0,0.012184872035273542,705.0,0.010582057015278859,665.0,0.010621632393544609,669.0,0.011775495620474065,712.0,0.013648735654163966,713.0,0.015414263209596891,767.0,0.012450958050781507,807.0,0.013161696963683802,811.0,0.015655959547216478,862.0,0.016677653869369268,925.0,0.016754946359235873,961.0,0.017122985545766148,978.0,0.015278624183629238,908.0,0.01811749492059116,917.0,0.01931933660986729,914.0,0.02004893919956149,912.0,0.019369211473702144,839.0,0.02179164852541832,800.0,0.02289010607232336,787.0,0.02413721545395801,773.0,0.026263511706913857,744.0,0.030516827288333437,719.0,0.03163289009196603,576.0,0.036234820852558726,477.0,0.03724766453798997,445.0,0.03955381258485217,386.0,0.0460863925922922,363.0,0.04952788454731536,338.0,0.047112144162083563,324.0,0.04974142947500578,373.0,0.05256469485896737,408.0,0.05717013136959095,349.0
6,1011.0,קריית אונו,0.006871497415049708,373.0,0.006473411553042902,444.0,0.009174501710718371,694.0,0.009004663003399268,709.0,0.009159404494827569,728.0,0.00949159833326799,963.0,0.010114284144705546,1141.0,0.011881060426494993,1402.0,0.013080927802063172,1468.0,0.013058388219664216,1241.0,0.012965410877318208,1247.0,0.012994699850361944,1287.0,0.014069639232704838,1115.0,0.012365231926845532,985.0,0.01078046157486126,809.0,0.011498154510038964,833.0,0.012931347208882518,921.0,0.014856387203666045,960.0,0.014469438181362931,1006.0,0.014611413001957053,987.0,0.016477741195975056,1001.0,0.01942671293549042,1090.0,0.021222953547673173,1232.0,0.02178016388160925,1303.0,0.020722371361421247,1359.0,0.023776653618925885,1289.0,0.02493562486943371,1398.0,0.02770754227022789,1370.0,0.028362883941221356,1301.0,0.030613234654465277,1140.0,0.032660784978500404,1066.0,0.03665251636564359,1055.0,0.03829096216302659,1072.0,0.04264188292409675,1013.0,0.0410507012355788,992.0,0.041447191372872776,874.0,0.04151985297240846,752.0,0.041405607105091384,668.0,0.04353126337775157,600.0,0.043123273938312716,539.0,0.03865420139017422,427.0,0.04288403684628051,449.0,0.04358563928894597,538.0,0.04228743932468248,621.0,0.044036160948879306,571.0
7,1013.0,ראש העין,0.015010210097586752,290.0,0.015775215922200558,356.0,0.015691053292657933,582.0,0.015808847453851426,604.0,0.015295928741262324,624.0,0.01581094123306231,900.0,0.016651527930446098,1063.0,0.015710441025443438,1312.0,0.015677490734240244,1368.0,0.016682052881142488,1152.0,0.01667659252286676,1194.0,0.01689744587889864,1207.0,0.017456423897216418,1008.0,0.01621886814072221,887.0,0.016460284703648586,675.0,0.01570743201761891,693.0,0.017924160036385937,757.0,0.01696654874045814,786.0,0.018155848747310323,872.0,0.022145481936976723,1007.0,0.024329834482356774,1099.0,0.025604118181276853,1241.0,0.027120086148148214,1470.0,0.027894016255107616,1587.0,0.028792991621975343,1643.0,0.02941556317423628,1575.0,0.030462723521770263,1643.0,0.03115147362382622,1575.0,0.03359176553230374,1455.0,0.03243112869029338,1217.0,0.033576940498817834,1136.0,0.034596633547317984,1111.0,0.037454953968607096,1111.0,0.03766972399182459,929.0,0.03748854803205071,896.0,0.03625959901765554,792.0,0.039279717110544635,675.0,0.03810852688727718,591.0,0.03837099374740045,541.0,0.0340362453265716,479.0,0.04014783438265722,410.0,0.04655285007273778,415.0,0.05100570460323135,463.0,0.05495530510927562,524.0,0.0561217587150888,473.0
8,1014.0,רמת השרון,0.007796243965661044,649.0,0.00748069957207884,794.0,0.011411401354297808,1197.0,0.01138664543112385,1226.0,0.011591469476100305,1254.0,0.011621038426835172,1705.0,0.012673489470588531,2055.0,0.013418098598671402,2509.0,0.014503881147025844,2608.0,0.013483041918900405,2083.0,0.013107871142033085,2158.0,0.0127488891772231,2189.0,0.01233131863593415,1892.0,0.010992834374387809,1692.0,0.010282840884152182,1450.0,0.009763155431945605,1405.0,0.009725550123212068,1500.0,0.009656743693207194,1588.0,0.010140395514933584,1692.0,0.010338747759289002,1645.0,0.012158429530199496,1697.0,0.013010644321372531,1747.0,0.014712544147580175,1982.0,0.015442675490079069,2111.0,0.01732597985245142,2065.0,0.01839390209485729,1960.0,0.021228686961974098,2141.0,0.02174562263646324,2115.0,0.022937933925710214,2057.0,0.02596119197807505,1841.0,0.029557373120965087,1688.0,0.030745581613993125,1661.0,0.03078837772855607,1653.0,0.02896981034772993,1553.0,0.031187900214429014,1479.0,0.03183174590448193,1276.0,0.03267647921429048,1069.0,0.03227547050916179,1042.0,0.032805804850758,987.0,0.03419745849691856,910.0,0.0403654821987226,764.0,0.0371660852421758,815.0,0.035834439728492234,923.0,0.035656327773575164,1013.0,0.035659573119468164,852.0
9,1015.0,יבנה,0.03478430989295408,334.0,0.03430982191409312,399.0,0.027735777244231586,588.0,0.028482825746778982,599.0,0.02849012050874095,611.0,0.024544862838216303,789.0,0.023125514676271944,922.0,0.019708978413954227,1109.0,0.020001961589416663,1143.0,0.020915432783427102,970.0,0.02094094296855485,988.0,0.01936630960337869,997.0,0.01864514891589511,848.0,0.017933399720799024,785.0,0.021643287468403945,629.0,0.020907645230424824,642.0,0.020011573957351446,714.0,0.018152615854519005,753.0,0.020601116730904808,810.0,0.024580097745795185,785.0,0.031077720458131813,836.0,0.03298622788794433,942.0,0.032197502028479964,1089.0,0.033993801225377734,1141.0,0.0376842592210402,1178.0,0.039226061070516786,1121.0,0.03945478451308925,1249.0,0.03705225822152863,1189.0,0.0387556742293589,1114.0,0.03905187047821907,976.0,0.0370941199298541,907.0,0.038823659410775715,884.0,0.04122093014848799,886.0,0.040479648112203545,781.0,0.039357333295813736,741.0,0.03876188920505026,626.0,0.04287952567624476,516.0,0.05133182936556476,461.0,0.044667454067920255,403.0,0.041473339616784406,359.0,0.052387102394924806,319.0,0.0529102697603345,346.0,0.05377439972232829,427.0,0.05573298481879537,468.0,0.054452024841413635,418.0
10,1020.0,ירושלים,0.016760152097712824,2767.0,0.017123772145657797,3239.0,0.017443316250880306,3914.0,0.016894430319139276,4011.0,0.016771590175925746,4065.0,0.01723366872608237,4920.0,0.017532107617843518,5462.0,0.017488228098910902,6318.0,0.017584457971683762,6628.0,0.016859130083458598,6006.0,0.017669618062311626,6230.0,0.017681932038172424,6396.0,0.017556225340874844,5934.0,0.01770723887407964,5648.0,0.01712201636093559,5383.0,0.01743812376842429,5526.0,0.017794510306167806,5954.0,0.0177426710907515,6192.0,0.01890908525249818,6702.0,0.01937267041549887,6474.0,0.0200005486645803,6714.0,0.02346308098524996,7013.0,0.02460986082306888,7807.0,0.02619223248749409,8212.0,0.02732501006295803,8344.0,0.02775160926461117,7883.0,0.02861380448134477,8642.0,0.02969454002106833,8757.0,0.029944591440885883,8507.0,0.0324458969641966,7902.0,0.03383137922338606,7646.0,0.035970675583286746,7442.0,0.03783825129061512,7558.0,0.04016363018064966,7376.0,0.04223585323940021,7159.0,0.04307799960516013,6119.0,0.04381296215218482,5102.0,0.04475461055378498,4603.0,0.04477282680111421,4252.0,0.04617568892099115,3727.0,0.046995167337555925,3002.0,0.05006301389841748,2864.0,0.04997993394340871,3456.0,0.050220520259415286,3845.0,0.053473682507437205,3527.0
11,1143.0,חיפה,0.008698364111428653,2199.0,0.009165485274789352,2546.0,0.010984985570342736,3575.0,0.011545495640789535,3662.0,0.011587778380752495,3744.0,0.013243872677481646,4964.0,0.014064085573804274,5718.0,0.014910395841968153,6887.0,0.015163498742835244,7181.0,0.0156411148174159,6355.0,0.015849490763217775,6485.0,0.016031550142482125,6573.0,0.015973109335697552,5540.0,0.01610912012582474,5020.0,0.015402495979952609,4180.0,0.01593601008782601,4184.0,0.017082227177188117,4494.0,0.017997778231272445,4606.0,0.018719768181954984,4944.0,0.019670227296612924,4831.0,0.021562132346663317,5091.0,0.02254867331310316,5691.0,0.023447990282997287,6502.0,0.02486664975824509,7054.0,0.02480154028211098,7361.0,0.025275301385593082,7103.0,0.026728656404782315,7980.0,0.026844047058554414,7882.0,0.027856256844605232,7520.0,0.02950499572866622,6749.0,0.03030956712092297,6288.0,0.031763446530411146,6155.0,0.032891336299378696,6121.0,0.033770269982329744,5588.0,0.034411768630617456,5324.0,0.034619226907183887,4591.0,0.03494798483364424,3906.0,0.035298823892853964,3512.0,0.038571192612754095,3175.0,0.03965783986981933,2848.0,0.043095918051924295,2355.0,0.045091355086185364,2409.0,0.045965658804532065,2844.0,0.04637715439457288,3063.0,0.047004965900350124,2689.0
12,1181.0,תל אביב -יפו,0.011095789521160951,5255.0,0.011216826663607276,6150.0,0.012521516054923914,8946.0,0.01285373895019386,9165.0,0.012713037539897156,9332.0,0.014419352993251953,12103.0,0.014788933130915526,14228.0,0.015457445598578354,16734.0,0.015218189639790587,17401.0,0.015312485554473704,14935.0,0.015170056714928885,15262.0,0.015363159295888497,15546.0,0.014696449113687787,13567.0,0.013935295574161809,12395.0,0.013209166093788192,10581.0,0.013199681826040994,10669.0,0.014010413027177529,11641.0,0.014039082810760741,12355.0,0.014409485378793932,13741.0,0.014816656985028685,14084.0,0.016341569703979018,14447.0,0.01784330655153911,15656.0,0.019681610454688747,17432.0,0.02064897736050693,18114.0,0.02167904332716997,18232.0,0.02253270178045667,17080.0,0.024964535047520667,18184.0,0.02549617707660164,18091.0,0.026187691717016646,17466.0,0.027702386212609433,16368.0,0.028390085087542063,15523.0,0.029576561056452576,15267.0,0.030231412457663944,15142.0,0.0314774230621116,13865.0,0.03241544184660642,13244.0,0.03310759931586963,11246.0,0.03389478970727966,8898.0,0.035908529776586234,7972.0,0.0393153239973943,7222.0,0.04119852565174297,6527.0,0.042302457708743434,5644.0,0.045764303569320035,5956.0,0.046895450653712534,7248.0,0.04792982075300704,8490.0,0.04909107096654345,8061.0
13,1184.0,בת ים,0.0322981815804294,342.0,0.03350495858527869,412.0,0.0272774160588137,657.0,0.026529839982082862,663.0,0.02622963236393113,679.0,0.023857560144431918,1038.0,0.02437622997009141,1296.0,0.02234597577472195,1683.0,0.02204289845387624,1802.0,0.025062365962585462,1673.0,0.02511877042668173,1705.0,0.02456664275501135,1728.0,0.025157273128801512,1392.0,0.02267031635617767,1156.0,0.02229652377659542,841.0,0.02434999868449449,809.0,0.026449209851688683,938.0,0.026959020631425957,963.0,0.029644485854277525,1088.0,0.02961420217532313,1051.0,0.0322013408042582,1208.0,0.033408585432418716,1412.0,0.03456887369564491,1818.0,0.03361638971133575,1985.0,0.033761089130321366,2125.0,0.03289556275022159,2024.0,0.03437021752576734,2477.0,0.03452442268770448,2347.0,0.034969308199073734,2169.0,0.036121738112375325,1761.0,0.03700242592570891,1539.0,0.03801884026377909,1435.0,0.03849615393868469,1397.0,0.04268745044181087,974.0,0.045372101945664135,902.0,0.044066123397691864,774.0,0.04660410078718509,604.0,0.04873898879223202,508.0,0.054148285517678515,461.0,0.05888254156465263,414.0,0.057933051261507086,318.0,0.060361256794584275,351.0,0.06105320120608002,384.0,0.0565775685844363,416.0,0.05841530337241761,385.0
14,1185.0,גבעתיים,0.0108281244212291,806.0,0.011910942669412491,944.0,0.0143017581314797,1296.0,0.013950627134055885,1318.0,0.014138512913465963,1346.0,0.014778043357466497,1727.0,0.015478573006989578,2064.0,0.016744918609858647,2490.0,0.01753476773922336,2599.0,0.017293871998215853,2240.0,0.017063490134771726,2285.0,0.017455056965223016,2315.0,0.016909697035237373,2012.0,0.016448789067750366,1819.0,0.015600290275060227,1532.0,0.015798011321733266,1555.0,0.01507264148938194,1669.0,0.013978916874658314,1752.0,0.014390453558670597,1897.0,0.01540492055378174,1866.0,0.01464339371239215,1934.0,0.015266282798278791,2099.0,0.017557004214701417,2367.0,0.01916106866566909,2508.0,0.02066625618866725,2551.0,0.021199211798335053,2425.0,0.02265344736880507,2601.0,0.023678039938890158,2537.0,0.02443340356475712,2405.0,0.02397268659651073,2117.0,0.02408978993369042,1951.0,0.027308655577826867,1907.0,0.02833739889486985,1891.0,0.02906389633741221,1730.0,0.03254768585573786,1639.0,0.03436896474925917,1416.0,0.03703031597759955,1165.0,0.038869768101673335,1044.0,0.036304418761357454,915.0,0.0374389643018163,817.0,0.03985366759947871,713.0,0.038579579836879783,740.0,0.04004755601577355,875.0,0.04127250274885212,1035.0,0.043399493689498164,971.0
15,1186.0,הרצלייה,0.008984911625612447,1169.0,0.009350514124572742,1387.0,0.01180591095004734,1999.0,0.011549958333221404,2039.0,0.012685672763768991,2095.0,0.0124602951397419,2698.0,0.013319353036585423,3176.0,0.012839867726733413,3753.0,0.0123537312287528,3932.0,0.012336175377140485,3381.0,0.01228966572729258,3459.0,0.011575929552906516,3517.0,0.011837519838737893,2988.0,0.011048003347142428,2757.0,0.011408319955484482,2352.0,0.012106724478071386,2353.0,0.012447837732300729,2553.0,0.012918873500539113,2687.0,0.013727840156551586,2872.0,0.013615803065252927,2887.0,0.014204171942126953,2922.0,0.01540495708012357,3161.0,0.015778257195760672,3515.0,0.017231174095248405,3712.0,0.01835928103794258,3719.0,0.018445766599663453,3547.0,0.019957594131146447,3803.0,0.02167050872564126,3783.0,0.022762264421645098,3662.0,0.025792294658552237,3297.0,0.02613371367874995,3046.0,0.026962048940484675,3062.0,0.028174637470865488,3023.0,0.029905799612604138,2847.0,0.02980066385806715,2819.0,0.03019322494387648,2395.0,0.029295775326281994,2028.0,0.03260700391986862,1802.0,0.03622247272350432,1601.0,0.03863608317522083,1440.0,0.04133484011726701,1159.0,0.04520995773690395,1041.0,0.043702866700444376,1212.0,0.0454136509437446,1358.0,0.0443166530521644,1255.0
